,min_color,max_color,mean_color,median_color
83,7,20,11.77488425925926,12.0
84,6,17,10.389444444444445,10.0
85,5,65,11.812709030100335,10.0
86,9,44,18.672043785107302,19.0
87,4,91,15.131044921624465,14.0
88,7,14,10.308333333333334,10.0
89,6,91,15.306316467934257,14.0
90,6,15,10.370015948963317,10.0
91,6,13,9.594594594594595,9.5
92,8,42,17.35506039150354,17.0
93,5,15,9.458976833976834,9.0
94,6,21,12.058685994856207,12.0
95,7,14,10.253125,10.0
96,19,255,83.67895299145299,58.0
97,5,255,47.20187134720273,14.0
98,4,46,14.08928810448018,12.0
99,2,84,10.662857142857144,8.0
100,10,118,28.170237540754542,24.0
101,10,255,64.66163901458019,37.0
102,2,84,10.04703115814227,8.0
103,11,91,38.173173173173176,37.0
104,9,97,18.092716575370257,17.0
105,4,167,16.36588785046729,10.0
106,6,255,54.2969982852395,23.0
107,9,51,18.790318337279665,18.0
108,4,255,20.676185135811874,13.0
109,8,50,18.305263157894736,17.0
110,6,255,80.47654263350286,36.0
111,12,101,31.866165413533835,30.0
112,8,46,17.00070888468809,16.0
113,7,47,16.378360983981693,16.0
114,6,19,11.176307189542484,11.0
115,7,46,15.407219052344331,15.0
116,8,32,13.009692513368984,13.0
117,7,91,18.75798549872624,17.0
118,7,101,18.11567254078612,17.0
119,9,28,15.79992816091954,15.0
120,4,255,64.61900004757148,16.0
121,6,255,73.83236135563381,28.0
122,8,94,19.579882067291017,16.0
123,6,21,11.86796338672769,12.0
124,6,26,14.1375,14.0
125,12,53,28.583778966131906,28.0
126,7,19,11.5426272292301,11.0
127,8,33,14.15606221279604,14.0
128,8,33,14.28442760942761,14.0
129,12,114,23.125060827250607,22.0
130,5,255,54.65904420549582,13.0
131,7,18,12.146867612293144,12.0
132,4,255,26.70413759952671,13.0
133,4,255,63.81957150960685,19.0
134,5,255,59.45808905214846,15.0
135,5,255,47.609690164275314,13.0
136,4,255,23.465543502081964,13.0
137,9,47,17.965830115830116,17.0
138,9,43,16.975242404654168,17.0
139,10,40,17.951580632252902,18.0
140,7,46,15.61940737833595,15.0
141,10,49,21.587422755361686,21.0
142,10,49,22.279675251959688,22.0
143,6,89,12.35903846153846,11.0
144,5,151,15.707556009881591,11.0
